code,number,obtainedas,pot1_code,pot2_code,genus,species,subspecies,variety,county,state,country,supplyer,order_code,old_code,year,cost,location,county_inferred,comment,
SARXHY-088S,88,S,,,Sarracenia,xhybrid,,,,,,Angelo Ossino - carnivorandia - Via Como 11 - IT-26010 Priolo Gargallo (SR),,601,2022,20,,,"H113MK x H85Ao - S. x ""Adrian Slack"" x  S. x ""Mahakala""",
SARXHY-089S,89,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,59,2022,9,,,BLACK/REDS flava ornata Black veins own select #1 x “Roy Cheek”,
SARXHY-090S,90,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,72,2022,6,,,"WHITE/PINK S. x ""White Slack"" x leuco. ""Hurricane Creek White"" #F",
SARXHY-091S,91,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,89,2022,7,,,GIANT S. (Leah Wilkerson x Pinkish Top) x ‘Saurus’,
SARXHY-092S,92,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,97,2022,12,,,WHITE/PINK S. leuco. “Pink Spirit” x ‘Ellie Wang’ ,
SARXHY-093S,93,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,122,2022,8,,,HYBRIDS S. areolata “October Hope” x “Roy Cheek”,
SARXHY-094S,94,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,125,2022,9,,,HYBRIDS S. areolata “Supercolor” x areolata “Pink devil”,
SARXHY-095S,95,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,130,2022,8,,,HYBRIDS S. x moorei ‘Leah Wilkerson’  x “Roy Cheek”,
SARXHY-096S,96,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,133,2022,8,,,HYBRIDS S. x “Fucsia” x ‘Ellie Wang’,
SARXHY-097S,97,S,,,Sarracenia,xhybrid,,,,,,dc.carnivores/aldebardan - Danilo Cazzaniga,,147,2022,8,,,PURPS S. “Peaches and Cream” x “Roy Cheek”,
SARXHY-098S,98,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE1,2022,0,,,"S. ((leucophylla x flava var. ornata) x ""Adrian Slack"") ""T"" x ""Inspiration"" --> [sister of ""Inspiration"" x ""Inspiration""]",
SARXHY-099S,99,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE2,2022,0,,,"S. ((leucophylla x flava var. ornata) x ""Adrian Slack"") ""T"" x ((leucophylla x oreophylla) x ""D"" x ""Inspiration"") --> [sister of ""Inspiration"" x sister of ""Bloody Punch""]",
SARXHY-100S,100,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE3,2022,0,,,"S. ""Rudolf II"" x (""Premysl Otakar I."" x purp. ven. montana) ""C""",
SARXHY-101S,101,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE4,2022,0,,,"S. (flava var. ornata x oreophila) ""A"" x ((flava var. ornata x oreophila) x purp. ven. montanta) ""C“)",
SARXHY-102S,102,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE5,2022,0,,,"S. (leucophylla L22D x (flava var. ornata x psittacina)) ""2"" x ((leucophylla x oreophylla) x leucophylla L30A)",
SARXHY-103S,103,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE6,2022,0,,,"S. (leucophylla L22D x (flava var. ornata x psittacina)) ""1"" x ((leucophylla x oreophylla) x leucophylla L30A)",
SARXHY-104S,104,S,,,Sarracenia,xhybrid,,,,,,SSC2223 - Thomas Niederhofer - Jägerwirth 46 - DE-94081 Füstenzell,,DE7,2022,0,,,"S. areolata SX149 CA x ""Adrian Slack""",
,,P,,,Sarracenia,purpurea,venosa,minor black,Catawba,North Carolina,United States,Oki,,,2021,0,,inferred,"Sarracenia purpurea ssp. venosa ""minor black""",https://www.gbif.org/occurrence/1424784936
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Anigozanthos,menziesii,,,,Western Australia,Australia,,,,2022,,"Geraldton, WA",,,
,,,,,Anigozanthos,menziesii,,,,Western Australia,Australia,,,,2022,,"Kings Park, Perth, Westen Australia",,,
,,,,,Eucalyptus,rhodantha,,,,Western Australia,Australia,,,,2022,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Drosera,linearis,,,,Ontario,Canada,Oliver Marthaler,,,,,,,,
,,,,,Drosera,binata,,,,Western Australia,Australia,,,,,,"Dam Rd Shannon, WA",,,
,,,,,Drosera,anglica,,,,Hawaii,United States,,,,2022,,"Alakai Swamp, Kauai, HI",,,
,,,,,Drosera,binata,,,,New South Wales,Australia,,,,2022,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Drosera,gracilis,,,,Victoria,Australia,Kumulugma - Michal,,,2022,1.5,"Genoa, Vic. - Küstenform",,,
,,,,,Drosera,gracilis,,,,Victoria,Australia,Kumulugma - Michal,,,2022,1.5,"Mt. Buffalo, Vic.",,,
,,,,,Drosera,gracilis,,,,Victoria,Australia,Kumulugma - Michal,,,2022,1.5,"Mt. Wombargo, Vic.",,,
,,,,,Drosera,gunniana,,,,New South Wales,Australia,Kumulugma - Michal,,,2022,1.5,"Dubbo, NSW",,,
,,,,,Drosera,gunniana,,,,New South Wales,Australia,Kumulugma - Michal,,,2022,1.5,Tunnel Hill,,,
,,,,,Drosera,hookeri,,,,Tasmania,Australia,Kumulugma - Michal,,,2022,1.5,"Conara Junction, Tas.",,,
,,,,,Drosera,hookeri,,,,Victoria,Australia,Kumulugma - Michal,,,2022,1.5,"Lake Eildon, Vic.",,,
,,,,,Drosera,capensis,,,,,Republic of South Aftica,Kumulugma - Michal,,,2022,1.5,"Naturschutzgebiet Vogelgat, in der Nähe von Hermanus, RSA",,,
,,,,,Drosera,spatulata,,,,West Coast,New Zealand,Kumulugma - Michal,,,2022,1.5,"Denniston, NZ",,,
,,,,,Drosera,binata,,,,Tasmania,Australia,Kumulugma - Michal,,,2022,1.5,Blackman Bay,,,
,,,,,Drosera,binata,,,,,New Zealand,Kumulugma - Michal,,,2022,1.5,"Dam Rd Shannon, NZ",,,
,,,,,Drosera,binata,,multifida f. extrema,,New South Wales,Australia,Kumulugma - Michal,,,2022,1.5,Angourie,,,
,,,,,Drosera,intermedia,,,,,United States,,,,2022,1.5,"Carolina Giant --> ?Giant Brunswick Co, NC",,,
,,,,,Utricularia,alpina,,,,,,McFlyZz - Florian Wagner,2023-1,,2023,5,Ayuan Tepui,,,
